rule_id,object,tags,specification,clause,test_number,description,test,message,user_friendly_message
ISO_14289_1-7.2.12,SETable,"structure,table",ISO_14289_1,7.2,12,Table element should contain zero or one TFoot kid,kidsStandardTypes.split('&').filter(elem => elem == 'TFoot').length <= 1,Table element contains more than one TFoot kid,"This table has multiple footer sections when it should have only one. Multiple footers confuse screen readers about where the table ends and which information represents summary or total data, making it unclear for users with disabilities to understand the table's complete structure."
ISO_14289_1-7.2.13,SETable,"structure,table",ISO_14289_1,7.2,13,"If Table element contains TFoot kid, Table element should contain one or more TBody kids",kidsStandardTypes.split('&').filter(elem => elem == 'TFoot').length == 0 || kidsStandardTypes.split('&').filter(elem => elem == 'TBody').length > 0,"Table element contains TFoot kid, but does not contain TBody kids",This table has a footer section but no body section containing the actual data rows. This illogical structure—like having a summary without any data to summarize—will confuse screen readers and prevent users with disabilities from understanding the table's organization and content.
ISO_14289_1-7.2.14,SETable,"structure,table",ISO_14289_1,7.2,14,"If Table element contains THead kid, Table element should contain one or more TBody kids",kidsStandardTypes.split('&').filter(elem => elem == 'THead').length == 0 || kidsStandardTypes.split('&').filter(elem => elem == 'TBody').length > 0,"Table element contains THead kid, but does not contain TBody kids",This table has a header section but no body section containing the actual data rows. This incomplete structure—like having column headings with no data beneath them—will confuse screen readers and prevent users with disabilities from accessing the table's content or understanding its purpose.
ISO_14289_1-7.2.15,SETableCell,"structure,table",ISO_14289_1,7.2,15,A table cell shall not have intersection with other cells,hasIntersection != true,Table cell has intersection with other cells,"Table cells in this PDF overlap with each other. This causes screen readers to become confused about which content belongs to which cell and where one cell ends and another begins, making the table data incomprehensible to users with disabilities."
ISO_14289_1-7.2.16,SETable,"structure,table",ISO_14289_1,7.2,16,Table element may contain a Caption element as its first or last kid,kidsStandardTypes.indexOf('&Caption&') < 0,Table element contains Caption as its %1 child instead of first or last one,"This table's caption is positioned incorrectly in the middle of the table structure instead of at the beginning or end. This improper placement confuses screen readers about when to announce the caption, potentially interrupting the flow of table data and making it harder for users with disabilities to understand what the table represents."
ISO_14289_1-7.2.17,SELI,"structure,list",ISO_14289_1,7.2,17,LI element should be contained in L element,parentStandardType == 'L',LI element contained in %1 instead of L element,"A list item is placed outside of an actual list structure. Without being properly contained in a list, screen readers can't identify this as part of a list or announce how many items the list contains, preventing users with disabilities from understanding the content's organization and context."
ISO_14289_1-7.2.18,SELBody,"structure,list",ISO_14289_1,7.2,18,LBody element should be contained in LI element,parentStandardType == 'LI',LBody element contained in %1 instead of LI element,"The content of a list item is placed outside of the list item structure. This breaks the connection between the bullet or number and its associated text, preventing screen readers from properly announcing list items and making the list structure incomprehensible to users with disabilities."
ISO_14289_1-7.2.19,SEL,"structure,list",ISO_14289_1,7.2,19,"L element may contain only L, LI and Caption elements",kidsStandardTypes.split('&').filter(elem => elem != 'L' && elem != 'LI' && elem != 'Caption').length == 0 || kidsStandardTypes == '',"L element contains %1 element(s) instead of L, LI or Caption","This list contains elements that don't belong in a properly structured list. Screen readers expect lists to only contain list items, nested lists, or captions—anything else disrupts the list structure, making it difficult for users with disabilities to navigate and understand where the list begins and ends."
ISO_14289_1-7.2.20,SELI,"structure,list",ISO_14289_1,7.2,20,LI element may contain only Lbl and LBody elements,/^(Lbl|LBody)(&(Lbl|LBody))*$/.test(kidsStandardTypes) || kidsStandardTypes == '',LI element contains %1 element(s) instead of Lbl or LBody,"This list item contains elements other than its label (bullet or number) and body text. Screen readers expect a simple structure of marker and content—anything else confuses the assistive technology, preventing users with disabilities from understanding which text belongs to which list item."
ISO_14289_1-7.2.21,PDStructElem,"structure,lang",ISO_14289_1,7.2,21,Natural language for text in ActualText attribute shall be determined,ActualText == null || containsLang == true || parentLang != null || gContainsCatalogLang == true,Natural language for text in ActualText attribute cannot be determined,"The replacement text provided for an element doesn't specify what language it's written in. Without language information, screen readers may pronounce this text incorrectly using the wrong language rules, making the content confusing or unintelligible for users with visual impairments."
ISO_14289_1-7.2.22,PDStructElem,"structure,lang",ISO_14289_1,7.2,22,Natural language for text in Alt attribute shall be determined,Alt == null || containsLang == true || parentLang != null || gContainsCatalogLang == true,Natural language for text in Alt attribute cannot be determined,"The alternative text describing an image or element doesn't specify what language it's written in. Without language information, screen readers may pronounce the description incorrectly, making it difficult or impossible for users with visual impairments to understand what the image or element represents."
ISO_14289_1-7.2.23,PDStructElem,"structure,lang",ISO_14289_1,7.2,23,Natural language for text in E attribute shall be determined,E == null || containsLang == true || parentLang != null || gContainsCatalogLang == true,Natural language for text in E attribute cannot be determined,"The expanded text for an abbreviation or acronym doesn't specify what language it's written in. Without language information, screen readers may mispronounce the full form when explaining what the abbreviation means, confusing users with visual impairments."
ISO_14289_1-7.2.24,PDAnnot,"lang,annotation,structure",ISO_14289_1,7.2,24,Natural language in the Contents entry for annotations shall be determined,Contents == null || containsLang == true || gContainsCatalogLang == true,Natural language in the Contents entry for annotations cannot be determined,"The text content of an annotation (like a comment or note) doesn't specify what language it's written in. Without language information, screen readers may pronounce the annotation incorrectly, making it difficult for users with visual impairments to understand the comment or additional information provided."
ISO_14289_1-7.2.25,PDFormField,"structure,lang",ISO_14289_1,7.2,25,Natural language in the TU key for form fields shall be determined,TU == null || containsLang == true || gContainsCatalogLang == true,Natural language in the TU key for form fields cannot be determined,"The descriptive label for a form field doesn't specify what language it's written in. Without language information, screen readers may mispronounce the field's purpose or instructions, making it confusing for users with disabilities to understand what information they need to enter."
ISO_14289_1-7.2.26,SETOCI,"structure,toc",ISO_14289_1,7.2,26,TOCI element should be contained in TOC element,parentStandardType == 'TOC',TOCI element contained in %1 instead of TOC element,"A table of contents item is placed outside of the table of contents structure. Without proper nesting, screen readers can't identify this as part of the navigation menu, preventing users with disabilities from using it to jump to different sections of the document."
ISO_14289_1-7.2.27,SETOC,"structure,toc",ISO_14289_1,7.2,27,"TOC element may contain only TOC, TOCI and Caption elements",kidsStandardTypes.split('&').filter(elem => elem != 'TOC' && elem != 'TOCI' && elem != 'Caption').length == 0 || kidsStandardTypes == '',"TOC element contains %1 element(s) instead of TOC, TOCI or Caption","This table of contents contains elements that don't belong in a properly structured navigation menu. Screen readers expect only TOC items, nested sections, or captions—anything else disrupts the navigation structure, making it difficult for users with disabilities to browse and jump to different parts of the document."
ISO_14289_1-7.2.28,SETOC,"structure,toc",ISO_14289_1,7.2,28,TOC element may contain a Caption element only as its first kid,kidsStandardTypes == '' || kidsStandardTypes.split('&').slice(1).findIndex(elem => elem == 'Caption') < 0,TOC element contains Caption as its %1 child instead of first one,"The caption for this table of contents appears in the wrong position instead of at the beginning. This incorrect placement confuses screen readers about when to announce what the navigation menu represents, potentially interrupting the flow and making it harder for users with disabilities to understand the TOC's purpose."
ISO_14289_1-7.2.29,CosLang,lang,ISO_14289_1,7.2,29,"If the Lang entry is present in the document's Catalog dictionary or in a structure element dictionary or property list, its value shall be a language identifier as described in ISO 32000-1:2008, 14.9.2. A language identifier shall be a Language-Tag as defined in RFC 3066, Tags for the Identification of Languages","/^[a-zA-Z]{1,8}(-[a-zA-Z0-9]{1,8})*$/.test(unicodeValue)",Value %1 of the Lang entry is not a Language-Tag,"The language code in this document is incorrectly formatted and doesn't follow the international standard for language identification. Screen readers won't recognize this invalid code, so they can't apply the correct pronunciation rules, potentially making the content unintelligible to users with visual impairments."
ISO_14289_1-7.2.30,SEMarkedContent,"lang,alt-text",ISO_14289_1,7.2,30,Natural language for text in ActualText attribute in Span Marked Content shall be determined,tag != 'Span' || ActualText == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true,Natural language for text in ActualText attribute in Span Marked Content cannot be determined,"The replacement text for a marked section of content doesn't specify what language it's written in. Without language information, screen readers won't know which pronunciation rules to use, potentially announcing this text incorrectly and confusing users with visual impairments."
ISO_14289_1-7.2.31,SEMarkedContent,"lang,alt-text",ISO_14289_1,7.2,31,Natural language for text in Alt attribute in Span Marked Content shall be determined,tag != 'Span' || Alt == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true,Natural language for text in Alt attribute in Span Marked Content cannot be determined,"The alternative text for a marked section of content doesn't specify what language it's written in. Without language information, screen readers may use incorrect pronunciation rules when reading this description aloud, making it difficult for users with visual impairments to understand the content being described."
ISO_14289_1-7.2.32,SEMarkedContent,"lang,alt-text",ISO_14289_1,7.2,32,Natural language for text in E attribute in Span Marked Content shall be determined,tag != 'Span' || E == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true,Natural language for text in E attribute in Span Marked Content cannot be determined,"The expanded text for an abbreviation within a marked section doesn't specify what language it's written in. Without language information, screen readers may mispronounce the full form of the abbreviation, making it confusing for users with visual impairments to understand what the shortened term means."
ISO_14289_1-7.2.33,XMPLangAlt,"lang,metadata",ISO_14289_1,7.2,33,Natural language for document metadata shall be determined,xDefault == false || gContainsCatalogLang == true,Natural language for document metadata cannot be determined,"The document's metadata (like title, author, or description) doesn't specify what language it's written in. Without language information, screen readers may mispronounce this important document information, making it harder for users with visual impairments to identify and understand what the document is about."
ISO_14289_1-7.2.34,SETextItem,"lang,text",ISO_14289_1,7.2,34,Natural language for text in page content shall be determined,gContainsCatalogLang == true || Lang != null,Natural language for text in page content cannot be determined,"Some text in this document doesn't specify what language it's written in. Without language information, screen readers can't apply the correct pronunciation rules, potentially reading the text with incorrect sounds and accents that make it unintelligible to users with visual impairments."
ISO_14289_1-7.2.36,SETHead,"structure,table",ISO_14289_1,7.2,36,THead element may contain only TR elements,kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == '',THead element contains %1 element(s) instead of TR,"The table header section contains elements other than rows. Screen readers expect table headers to only contain header rows—anything else disrupts the table structure, preventing users with disabilities from properly understanding which rows contain the column headings."
ISO_14289_1-7.2.37,SETBody,"structure,table",ISO_14289_1,7.2,37,TBody element may contain only TR elements,kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == '',TBody element contains %1 element(s) instead of TR,"The table body section contains elements other than rows. Screen readers expect the table body to only contain data rows—anything else confuses the table structure, making it difficult for users with disabilities to navigate through the table's data correctly."
ISO_14289_1-7.2.38,SETFoot,"structure,table",ISO_14289_1,7.2,38,TFoot element may contain only TR elements,kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == '',TFoot element contains %1 element(s) instead of TR,"The table footer section contains elements other than rows. Screen readers expect table footers to only contain footer rows (like totals or summaries)—anything else disrupts the table structure, preventing users with disabilities from properly understanding the table's concluding information."
ISO_14289_1-7.2.39,SETable,"structure,table",ISO_14289_1,7.2,39,Table element may contain only one Caption element,kidsStandardTypes.split('&').filter(elem => elem == 'Caption').length < 2,Table element contains %1 Caption elements instead of one,"This table has multiple captions when it should have only one. Having more than one caption confuses screen readers about what to announce as the table's title or description, making it unclear for users with disabilities to understand what the table represents."
ISO_14289_1-7.2.40,SEL,"structure,list",ISO_14289_1,7.2,40,L element may contain a Caption element only as its first kid,kidsStandardTypes == '' || kidsStandardTypes.split('&').slice(1).findIndex(elem => elem == 'Caption') < 0,L element contains Caption as its %1 child instead of first one,"This list's caption appears in the wrong position instead of at the beginning. This incorrect placement confuses screen readers about when to announce what the list represents, potentially interrupting the flow of list items and making it harder for users with disabilities to understand the list's purpose."
ISO_14289_1-7.2.41,SETable,"structure,table",ISO_14289_1,7.2,41,Table columns shall have the same number of rows (taking into account row spans),numberOfColumnWithWrongRowSpan == null,Table columns 1 and %1 span different number of rows,"The columns in this table don't line up properly—some columns have more or fewer rows than others. This irregular structure confuses screen readers about the table's dimensions and cell positions, making it extremely difficult for users with disabilities to navigate and understand the table's data relationships."
ISO_14289_1-7.2.42,SETable,"structure,table",ISO_14289_1,7.2,42,Table rows shall have the same number of columns (taking into account column spans),numberOfRowWithWrongColumnSpan == null || wrongColumnSpan != null,Table rows 1 and %1 span different number of columns,"The rows in this table don't have a consistent number of columns—some rows are wider or narrower than others. This irregular structure prevents screen readers from properly navigating the table and announcing correct column positions, making the data confusing and difficult to understand for users with disabilities."
ISO_14289_1-7.2.43,SETable,"structure,table",ISO_14289_1,7.2,43,Table rows shall have the same number of columns (taking into account column spans),numberOfRowWithWrongColumnSpan == null || wrongColumnSpan == null,Table rows 1 and %1 span different number of columns (%2 and %3 respectively),"The rows in this table have inconsistent widths—one row has a different number of columns than another. This irregular structure prevents screen readers from properly mapping the table grid and announcing accurate cell positions, making it confusing for users with disabilities to understand how the data is organized."
ISO_14289_1-7.3.1,SEFigure,"alt-text,structure,figure",ISO_14289_1,7.3,1,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323",(Alt != null && Alt != '') || ActualText != null,Figure structure element neither has an alternate description nor a replacement text,"This image or figure is missing a text description that explains what it shows. Without alternative text, screen readers can only announce that an image is present, leaving users with visual impairments completely unaware of the visual information, data, or context the image conveys."
ISO_14289_1-7.4.2.1,SEHn,"structure,heading",ISO_14289_1,7.4.2,1,"For documents that are not strongly structured, as described in ISO 32000-1:2008, 14.8.4.3.5, heading tags shall be used as follows: (*) If any heading tags are used, H1 shall be the first. (*) A document may use more than one instance of any specific tag level. For example, a tag level may be repeated if document content requires it. (*) If document semantics require a descending sequence of headers, such a sequence shall proceed in strict numerical order and shall not skip an intervening heading level. (*) A document may increment its heading sequence without restarting at H1 if document semantics require it",hasCorrectNestingLevel == true,Heading level %1 is skipped in a descending sequence of header levels,"This document skips a heading level (for example, jumping from Heading 1 directly to Heading 3). Screen readers use heading levels to help users understand the document's hierarchy and navigate between sections—skipping levels breaks this logical structure, making it confusing for users with disabilities to understand how content is organized."
ISO_14289_1-7.4.4.1,PDStructElem,"structure,heading",ISO_14289_1,7.4.4,1,Each node in the tag tree shall contain at most one child H tag,kidsStandardTypes.split('&').filter(elem => elem == 'H').length <= 1,A node contains more than one H tag,"A section of this document has multiple heading tags when it should have only one. This confuses screen readers about which text is the actual heading, making it difficult for users with disabilities to navigate the document structure or understand the section's organization."
ISO_14289_1-7.4.4.2,SEH,"structure,heading",ISO_14289_1,7.4.4,2,"All documents shall be either strongly or weakly structured, but not both",usesHn == false,Document uses both H and H# tags,"This document mixes two different heading systems (generic H tags and numbered H1-H6 tags) when it should use only one approach. This inconsistent structure confuses screen readers about the document's hierarchy, making it difficult for users with disabilities to understand and navigate the organization of content."
ISO_14289_1-7.4.4.3,SEHn,"structure,heading",ISO_14289_1,7.4.4,3,"All documents shall be either strongly or weakly structured, but not both",usesH == false,Document uses both H and H# tags,"This document mixes two different heading systems (numbered H1-H6 tags and generic H tags) when it should use only one approach. This inconsistent structure confuses screen readers about the document's hierarchy, making it difficult for users with disabilities to understand and navigate the organization of content."
ISO_14289_1-7.5.1,SETD,"structure,table",ISO_14289_1,7.5,1,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute",hasConnectedHeader != false || unknownHeaders != '',"TD does not contain Headers attribute, and Headers for this table cell cannot be determined algorithmically","This table cell isn't properly connected to its column or row headers. Without this connection, screen readers can't tell users with disabilities which headers apply to each data cell, making it impossible to understand what the numbers or information in the cell represent."
ISO_14289_1-7.5.2,SETD,"structure,table",ISO_14289_1,7.5,2,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute",hasConnectedHeader != false || unknownHeaders == '',"TD references undefined Header(s) %1, and Headers for this table cell cannot be determined algorithmically","This table cell references header cells that don't exist in the table. Without valid header connections, screen readers can't announce which row and column labels apply to the data, leaving users with disabilities unable to understand what the cell's information represents."
