"rule_id","object","tags","specification","clause","test_number","description","test","message","user_friendly_message","user_friendly_fix"
"ISO_14289_1-7.1.4","CosDocument","syntax","ISO_14289_1","7.1",4,"Files shall have a Suspects value of false(ISO 32000-1:2008, Table 321)","Suspects != true","Suspects entry has a value of true","This PDF is flagged as having potentially incomplete or incorrect accessibility tagging. This warning indicates the document may have been modified after its accessibility features were created, meaning assistive technologies might encounter unexpected errors or missing information when trying to help users with disabilities access the content.","This flag is automatically set by the PDF engine and indicates potential tagging issues in your document. Review your source document for complex formatting, custom layouts, or elements that may not be fully supported by your PDF engine's accessibility features. Regenerate the PDF from a clean Quarto render without any post-processing or manual PDF editing to ensure the accessibility structure remains intact and complete."
"ISO_14289_1-7.1.5","SENonStandard","structure","ISO_14289_1","7.1",5,"All non-standard structure types shall be mapped to the nearest functionally equivalent standard type, as defined in ISO 32000-1:2008, 14.8.4, in the role map dictionary of the structure tree root. This mapping may be indirect; within the role map a non-standard type can map directly to another non-standard type, but eventually the mapping shall terminate at a standard type","isNotMappedToStandardType == false","Non-standard structure type %1 is not mapped to a standard type","This PDF uses a custom label for organizing content that hasn't been connected to a standard type that assistive technologies understand. Without this connection, screen readers won't know how to interpret or announce this element, leaving users with disabilities unable to understand its purpose or navigate it properly.","Avoid using custom divs, classes, or formatting structures that don't map to standard HTML/Markdown elements in your Quarto document. Stick to standard Quarto syntax for headings, paragraphs, lists, tables, figures, and code blocks. If you're using custom divs or fenced divs with special classes, replace them with standard semantic elements or ensure your PDF engine's configuration maps these custom types to standard structure types."
"ISO_14289_1-7.1.6","PDStructElem","structure","ISO_14289_1","7.1",6,"A circular mapping shall not exist","circularMappingExist != true","A circular mapping exists for %1 structure type","This PDF has a structural labeling error where a content type points back to itself in an endless loop. This circular reference will prevent assistive technologies from understanding what type of content this is, causing them to fail or behave unpredictably when users with disabilities try to access this part of the document.","This is a structural mapping error in the PDF's internal organization that typically indicates a bug in your PDF engine's accessibility implementation. Review your document for any custom structure definitions or role mappings you may have configured, and remove them to use only standard Quarto elements. If you haven't added custom configurations, try updating your PDF engine to the latest version or switching to a different PDF engine."
"ISO_14289_1-7.1.7","PDStructElem","structure","ISO_14289_1","7.1",7,"Standard tags defined in ISO 32000-1:2008, 14.8.4, shall not be remapped","remappedStandardType == null","Standard type %1 is remapped","This PDF has incorrectly redefined a standard content label that assistive technologies rely on. By changing what a standard label means, screen readers and other accessibility tools will misinterpret the content's structure, potentially announcing headings as paragraphs or lists as tables, creating confusion for users with disabilities.","Remove any custom role mappings or structure type redefinitions from your PDF engine configuration files. Do not attempt to redefine how standard elements (like headings, paragraphs, lists, or tables) are tagged in the PDF output. If you've modified template files or configuration settings that map standard Quarto elements to different PDF structure types, revert these changes to use the default mappings."
"ISO_14289_1-7.1.8","PDDocument","metadata","ISO_14289_1","7.1",8,"The Catalog dictionary of a conforming file shall contain the Metadata key whose value is a metadata stream as defined in ISO 32000-1:2008, 14.3.2. The metadata stream dictionary shall contain entry Type with value /Metadata and entry Subtype with value /XML","containsMetadata == true","The document catalog dictionary doesn't contain metadata key or metadata stream dictionary does not contain either entry Type with value /Metadata or entry Subtype with value /XML","This PDF is missing essential information about the document itself (like title, author, and accessibility features) or this information isn't stored in the correct format. Without proper metadata, assistive technologies can't provide users with disabilities important context about the document before they begin reading it.","Add document metadata to your Quarto YAML front matter including `title`, `author`, `date`, and `lang` fields. Ensure your PDF engine is configured to embed this metadata in XMP format by enabling metadata options in your YAML (this may require accessibility-related PDF engine settings). If metadata still doesn't appear correctly, you may need to update your PDF engine version or adjust engine-specific metadata configuration."
"ISO_14289_1-7.1.9","MainXMPPackage","metadata","ISO_14289_1","7.1",9,"The Metadata stream in the document's catalog dictionary shall contain a dc:title entry, where dc is the recommended prefix for the Dublin Core metadata schema as defined in the XMP specification, which clearly identifies the document","dc_title != null","Metadata stream does not contain dc:title","This PDF is missing a document title in its metadata. Without a title, assistive technologies can't announce what document users are opening, forcing people with visual impairments to guess the content or rely solely on the filename, which may not be descriptive or meaningful.","Add a `title` field to your Quarto YAML front matter at the top of your .qmd file (e.g., `title: ""Your Document Title""`). Ensure your PDF engine settings include metadata embedding—this should happen automatically in most Quarto configurations, but if the title still doesn't appear in the PDF metadata, verify that accessibility or metadata options are enabled in your PDF format settings."
"ISO_14289_1-7.1.10","CosDocument","syntax","ISO_14289_1","7.1",10,"The document catalog dictionary shall include a ViewerPreferences dictionary containing a DisplayDocTitle key, whose value shall be true","DisplayDocTitle == true","ViewerPreferences dictionary is not present in the document Catalog, or DisplayDocTitle key is set to false or is not present in the ViewerPreferences dictionary (ViewerPreferences = %1, DisplayDocTitle = %2)","This PDF isn't configured to display its title in the window or tab bar, showing the filename instead. This makes it harder for users with disabilities to identify and switch between open documents, especially when using screen readers that announce window titles for navigation.","This setting controls how PDF viewers display the document and requires PDF engine configuration to set the DisplayDocTitle viewer preference to true. While you should ensure your document has a `title` in the YAML front matter, enabling this viewer preference typically requires additional PDF engine-specific settings that tell the PDF to prefer showing the title over the filename in viewer applications."
"ISO_14289_1-7.1.11","PDDocument","structure","ISO_14289_1","7.1",11,"The logical structure of the conforming file shall be described by a structure hierarchy rooted in the StructTreeRoot entry of the document catalog dictionary, as described in ISO 32000-1:2008, 14.7","containsStructTreeRoot == true","StructTreeRoot entry is not present in the document catalog","This PDF is missing the organizational framework that defines how its content is structured (like headings, paragraphs, lists, and tables). Without this structure, screen readers can only read the document as unorganized text in visual order, making it nearly impossible for users with visual impairments to navigate or understand the content properly.","Enable tagged PDF output in your Quarto configuration by adding PDF engine options that create a structured document tree. This typically involves setting accessibility or tagging flags in your YAML front matter's `pdf-engine-opt` or format-specific options. If Quarto doesn't provide a direct option for your PDF engine, you'll need to configure the PDF engine's settings to enable full document tagging and structure tree generation."
"ISO_14289_1-7.1.12","PDStructElem","structure","ISO_14289_1","7.1",12,"A structure element dictionary shall contain the P (parent) entry according to ISO 32000-1:2008, 14.7.2, Table 355","containsParent == true","A structure element dictionary does not contain the P (parent) entry","This PDF has a structural element that doesn't specify what it belongs to in the document hierarchy. Without this parent relationship, assistive technologies can't understand how this content fits into the overall structure, potentially causing navigation errors or skipping content when users with disabilities try to move through the document.","This is an internal structure tree error generated during PDF creation that indicates incomplete tagging by your PDF engine. Ensure all content in your Quarto document uses proper semantic structure (headings, paragraphs, lists, etc.) without orphaned elements or improperly nested content. If your document structure is correct, this may indicate a bug in your PDF engine's tagging implementation that requires updating the engine or adjusting its accessibility configuration settings."
"ISO_14289_1-7.2.2","PDOutline","lang","ISO_14289_1","7.2",2,"Natural language in the Outline entries shall be determined","gContainsCatalogLang == true","Natural language in the Outline entries cannot be determined","The bookmarks in this PDF don't specify what language they're written in. Without language information, screen readers may pronounce the bookmark text incorrectly or use the wrong pronunciation rules, making navigation confusing or unintelligible for users with visual impairments.","Add a `lang` field to your Quarto YAML front matter specifying the document language (e.g., `lang: en` for English, `lang: es` for Spanish). This setting should propagate to all document elements including bookmarks, ensuring screen readers use the correct pronunciation rules throughout the PDF including the table of contents and navigation elements."
"ISO_14289_1-7.2.3","SETable","structure,table","ISO_14289_1","7.2",3,"Table element may contain only TR, THead, TBody, TFoot and Caption elements","kidsStandardTypes.split('&').filter(elem => elem != 'TR' && elem != 'THead' && elem != 'TBody' && elem != 'TFoot' && elem != 'Caption').length == 0 || kidsStandardTypes == ''","Table element contains %1 element(s) instead of TR, THead, TBode, TFoot or Caption","This table contains elements that don't belong in a properly structured table. Screen readers expect tables to only have rows, headers, body sections, footers, and captions—anything else will confuse the assistive technology, making it difficult or impossible for users with disabilities to understand the table's data and organization.","Review your table markup to ensure it only contains proper table elements—rows with cells, and optionally a caption. Remove any paragraphs, images, lists, or other non-table content that's embedded directly inside the table structure. If you need to include additional content with your table, place it outside the table (before or after) rather than mixing it within the table markup."
"ISO_14289_1-7.2.4","SETR","structure,table","ISO_14289_1","7.2",4,"TR element should be contained in Table, THead, TBody or TFoot element","/^(Table|THead|TBody|TFoot)$/.test(parentStandardType)","TR element contained in %1 instead of Table, THead, TBody or TFoot element","A table row is placed outside of its proper table container. This is like having a row of data floating without being part of an actual table, which confuses screen readers and prevents them from announcing the row's relationship to other data, making the information incomprehensible to users with visual impairments.","Ensure all table rows in your Quarto document are properly contained within a complete table structure using standard Markdown or HTML table syntax. Check that you haven't accidentally placed table row markup outside of the table delimiters or broken the table structure with improper nesting. If using complex tables, verify that all rows are fully enclosed within the table boundaries."
"ISO_14289_1-7.2.5","SETHead","structure,table","ISO_14289_1","7.2",5,"THead element should be contained in Table element","parentStandardType == 'Table'","THead element contained in %1 instead of Table element","The table header section is placed outside of its table. Without the header being properly nested within the table structure, screen readers can't identify which rows contain column headings, making it extremely difficult for users with disabilities to understand what each column of data represents.","Ensure your table header row is properly placed at the beginning of your table structure using standard Markdown table syntax with a header separator line (the line with dashes). Verify that nothing separates the header row from the rest of the table, and avoid using custom formatting that might break the table header from its parent table container."
"ISO_14289_1-7.2.6","SETBody","structure,table","ISO_14289_1","7.2",6,"TBody element should be contained in Table element","parentStandardType == 'Table'","TBody element contained in %1 instead of Table element","The table body section is placed outside of its table. This structural error prevents screen readers from recognizing this as part of a table, so users with disabilities won't be able to navigate the data properly or understand its relationship to table headers and other rows.","Ensure all data rows in your table are properly contained within the complete table structure using standard Markdown or HTML table syntax. Check that you haven't accidentally broken the table into multiple sections or placed table body content outside the table boundaries—all rows below the header should be part of one continuous table structure."
"ISO_14289_1-7.2.7","SETFoot","structure,table","ISO_14289_1","7.2",7,"TFoot element should be contained in Table element","parentStandardType == 'Table'","TFoot element contained in %1 instead of Table element","The table footer section is placed outside of its table. Without proper nesting, screen readers can't identify this as the table's footer information (like totals or summaries), preventing users with disabilities from understanding the complete context and structure of the table data.","If you have table footer rows (like totals or summaries), ensure they're included within the same table structure as the rest of your table content. Standard Markdown tables don't directly support footers, so if you need footer functionality, either include those rows as regular data rows within the table or use HTML table syntax that properly nests the footer section within the table element."
"ISO_14289_1-7.2.8","SETH","structure,table","ISO_14289_1","7.2",8,"TH element should be contained in TR element","parentStandardType == 'TR'","TH element contained in %1 instead of TR element","A table header cell is placed outside of a table row. This breaks the table structure, preventing screen readers from properly associating the header with its data and announcing row/column positions, making it impossible for users with disabilities to navigate and understand the table's organization.","Review your table to ensure all header cells are properly placed within table rows using standard Markdown table syntax. In Markdown tables, the header row is automatically created from the first row followed by the separator line with dashes—make sure you haven't accidentally placed header content outside of this structure or broken the row formatting."
"ISO_14289_1-7.2.9","SETD","structure,table","ISO_14289_1","7.2",9,"TD element should be contained in TR element","parentStandardType == 'TR'","TD element contained in %1 instead of TR element","A table data cell is placed outside of a table row. Without being properly contained in a row, screen readers can't announce which row and column the data belongs to, leaving users with disabilities unable to understand the data's position or relationship to headers and other cells.","Review your table to ensure all data cells are properly placed within table rows using correct Markdown table syntax. Check that each row has the proper number of pipe separators (|) and that no cells are accidentally placed outside the table structure—every cell should be delimited by pipes and contained within a complete row."
"ISO_14289_1-7.2.10","SETR","structure,table","ISO_14289_1","7.2",10,"TR element may contain only TH and TD elements","/^(TH|TD)(&(TH|TD))*$/.test(kidsStandardTypes) || kidsStandardTypes == ''","TR element contains %1 element(s) instead of TH or TD","This table row contains elements other than header or data cells. Screen readers expect rows to only contain cells—anything else disrupts the table structure, preventing users with disabilities from navigating between cells or understanding which content belongs in the table versus outside it.","Ensure each table row contains only table cells (data or headers), not other elements like paragraphs, images, or lists embedded directly in the row. If you need to include complex content with your table, place it in separate paragraphs outside the table structure, or if the content must be in the table, put it inside the table cells themselves rather than between or alongside cells."
"ISO_14289_1-7.2.11","SETable","structure,table","ISO_14289_1","7.2",11,"Table element should contain zero or one THead kid","kidsStandardTypes.split('&').filter(elem => elem == 'THead').length <= 1","Table element contains more than one THead kid","This table has multiple header sections when it should have only one. Having more than one header confuses screen readers about which row contains the actual column headings, making it difficult for users with disabilities to understand what each column represents or navigate the table correctly.","Review your table to ensure it has only one header row at the top. In Markdown tables, use only one header separator line (the line with dashes), which defines a single header section. If you need multiple descriptive rows at the top, either combine them into one header row or move the additional rows into the table body as regular data rows."
"ISO_14289_1-7.2.12","SETable","structure,table","ISO_14289_1","7.2",12,"Table element should contain zero or one TFoot kid","kidsStandardTypes.split('&').filter(elem => elem == 'TFoot').length <= 1","Table element contains more than one TFoot kid","This table has multiple footer sections when it should have only one. Multiple footers confuse screen readers about where the table ends and which information represents summary or total data, making it unclear for users with disabilities to understand the table's complete structure.","If you're using HTML table syntax with footer elements, consolidate multiple footer sections into a single footer at the end of your table. Standard Markdown tables don't support footers, so if you need footer rows (like totals), include them as the last rows within the regular table body, or switch to HTML table syntax with only one properly defined footer section."
"ISO_14289_1-7.2.13","SETable","structure,table","ISO_14289_1","7.2",13,"If Table element contains TFoot kid, Table element should contain one or more TBody kids","kidsStandardTypes.split('&').filter(elem => elem == 'TFoot').length == 0 || kidsStandardTypes.split('&').filter(elem => elem == 'TBody').length > 0","Table element contains TFoot kid, but does not contain TBody kids","This table has a footer section but no body section containing the actual data rows. This illogical structure—like having a summary without any data to summarize—will confuse screen readers and prevent users with disabilities from understanding the table's organization and content.","Ensure your table contains actual data rows between the header and footer sections. If you're using HTML table syntax with a footer element, make sure you have data rows in the table body section. If using standard Markdown tables, avoid creating tables with only headers and footers—include at least one row of actual data content."
"ISO_14289_1-7.2.14","SETable","structure,table","ISO_14289_1","7.2",14,"If Table element contains THead kid, Table element should contain one or more TBody kids","kidsStandardTypes.split('&').filter(elem => elem == 'THead').length == 0 || kidsStandardTypes.split('&').filter(elem => elem == 'TBody').length > 0","Table element contains THead kid, but does not contain TBody kids","This table has a header section but no body section containing the actual data rows. This incomplete structure—like having column headings with no data beneath them—will confuse screen readers and prevent users with disabilities from accessing the table's content or understanding its purpose.","Ensure your table contains at least one data row below the header row. In Markdown tables, add data rows after the header separator line (the line with dashes). Every table with column headers should have corresponding data—if you don't have data to display, consider removing the table entirely or replacing it with a different content structure."
"ISO_14289_1-7.2.15","SETableCell","structure,table","ISO_14289_1","7.2",15,"A table cell shall not have intersection with other cells","hasIntersection != true","Table cell has intersection with other cells","Table cells in this PDF overlap with each other. This causes screen readers to become confused about which content belongs to which cell and where one cell ends and another begins, making the table data incomprehensible to users with disabilities.","Review your table structure to ensure you're using proper Markdown or HTML table syntax with correct cell alignment. Check for merged cells, colspan/rowspan attributes, or complex table layouts that may be creating overlapping cells. If you need merged cells, verify that the spanning is correctly specified—otherwise, simplify your table to use a standard grid layout where each cell occupies exactly one row and column position."
"ISO_14289_1-7.2.16","SETable","structure,table","ISO_14289_1","7.2",16,"Table element may contain a Caption element as its first or last kid","kidsStandardTypes.indexOf('&Caption&') < 0","Table element contains Caption as its %1 child instead of first or last one","This table's caption is positioned incorrectly in the middle of the table structure instead of at the beginning or end. This improper placement confuses screen readers about when to announce the caption, potentially interrupting the flow of table data and making it harder for users with disabilities to understand what the table represents.","Move your table caption to either immediately before or immediately after the table using Quarto's caption syntax (e.g., `: Caption text` on the line following the table). Ensure nothing is placed between the caption and the table—the caption should be the first element users encounter or the last, not embedded within the table rows themselves."
"ISO_14289_1-7.2.17","SELI","structure,list","ISO_14289_1","7.2",17,"LI element should be contained in L element","parentStandardType == 'L'","LI element contained in %1 instead of L element","A list item is placed outside of an actual list structure. Without being properly contained in a list, screen readers can't identify this as part of a list or announce how many items the list contains, preventing users with disabilities from understanding the content's organization and context.","Ensure all list items are properly contained within a list structure using standard Markdown list syntax (lines starting with `-`, `*`, `+` for unordered lists or `1.`, `2.`, etc. for ordered lists). Check that list items aren't accidentally separated from their parent list by blank lines or other content that breaks the list structure—all items should be consecutive with proper indentation."
"ISO_14289_1-7.2.18","SELBody","structure,list","ISO_14289_1","7.2",18,"LBody element should be contained in LI element","parentStandardType == 'LI'","LBody element contained in %1 instead of LI element","The content of a list item is placed outside of the list item structure. This breaks the connection between the bullet or number and its associated text, preventing screen readers from properly announcing list items and making the list structure incomprehensible to users with disabilities.","Review your list formatting to ensure all list item content is properly placed on the same line or correctly indented beneath the list marker (bullet or number). In Markdown, the text should immediately follow the list marker on the same line, or if you have multi-line content within a list item, indent continuation lines to maintain the list item structure without breaking it."
"ISO_14289_1-7.2.19","SEL","structure,list","ISO_14289_1","7.2",19,"L element may contain only L, LI and Caption elements","kidsStandardTypes.split('&').filter(elem => elem != 'L' && elem != 'LI' && elem != 'Caption').length == 0 || kidsStandardTypes == ''","L element contains %1 element(s) instead of L, LI or Caption","This list contains elements that don't belong in a properly structured list. Screen readers expect lists to only contain list items, nested lists, or captions—anything else disrupts the list structure, making it difficult for users with disabilities to navigate and understand where the list begins and ends.","Ensure your list only contains list items and nested sublists using proper Markdown syntax—don't embed paragraphs, headings, tables, or other non-list elements directly within the list structure. If you need to include additional content with your list, place it outside the list (before or after) or, if it truly belongs with a list item, indent it properly as part of that item's content."
"ISO_14289_1-7.2.20","SELI","structure,list","ISO_14289_1","7.2",20,"LI element may contain only Lbl and LBody elements","/^(Lbl|LBody)(&(Lbl|LBody))*$/.test(kidsStandardTypes) || kidsStandardTypes == ''","LI element contains %1 element(s) instead of Lbl or LBody","This list item contains elements other than its label (bullet or number) and body text. Screen readers expect a simple structure of marker and content—anything else confuses the assistive technology, preventing users with disabilities from understanding which text belongs to which list item.","Use standard Markdown list syntax where each list item consists of a marker (-, *, +, or number) followed by the item's text content. Avoid inserting complex structures or non-standard formatting within individual list items—keep each item as simple text, or if you need formatted content within an item, ensure it's properly indented as part of that item's body rather than as separate elements."
"ISO_14289_1-7.2.21","PDStructElem","structure,lang","ISO_14289_1","7.2",21,"Natural language for text in ActualText attribute shall be determined","ActualText == null || containsLang == true || parentLang != null || gContainsCatalogLang == true","Natural language for text in ActualText attribute cannot be determined","The replacement text provided for an element doesn't specify what language it's written in. Without language information, screen readers may pronounce this text incorrectly using the wrong language rules, making the content confusing or unintelligible for users with visual impairments.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). If you have ActualText attributes being generated from alt text or custom elements in different languages than the main document, you may need to use language-specific spans or divs in your source content to properly mark language changes for accessibility."
"ISO_14289_1-7.2.22","PDStructElem","structure,lang","ISO_14289_1","7.2",22,"Natural language for text in Alt attribute shall be determined","Alt == null || containsLang == true || parentLang != null || gContainsCatalogLang == true","Natural language for text in Alt attribute cannot be determined","The alternative text describing an image or element doesn't specify what language it's written in. Without language information, screen readers may pronounce the description incorrectly, making it difficult or impossible for users with visual impairments to understand what the image or element represents.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to all alt text in your document. If you have images with alt text in a different language than the main document, wrap those images in a div or span with a language attribute to specify the alternative language for that specific content."
"ISO_14289_1-7.2.23","PDStructElem","structure,lang","ISO_14289_1","7.2",23,"Natural language for text in E attribute shall be determined","E == null || containsLang == true || parentLang != null || gContainsCatalogLang == true","Natural language for text in E attribute cannot be determined","The expanded text for an abbreviation or acronym doesn't specify what language it's written in. Without language information, screen readers may mispronounce the full form when explaining what the abbreviation means, confusing users with visual impairments.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to all abbreviation expansions. If you have abbreviations with expansions in a different language than the main document, wrap those abbreviations in a span with a language attribute to specify the alternative language for that specific content."
"ISO_14289_1-7.2.24","PDAnnot","lang,annotation,structure","ISO_14289_1","7.2",24,"Natural language in the Contents entry for annotations shall be determined","Contents == null || containsLang == true || gContainsCatalogLang == true","Natural language in the Contents entry for annotations cannot be determined","The text content of an annotation (like a comment or note) doesn't specify what language it's written in. Without language information, screen readers may pronounce the annotation incorrectly, making it difficult for users with visual impairments to understand the comment or additional information provided.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to annotations created during PDF generation. If you're adding annotations or comments through custom code or filters, ensure those annotations inherit or explicitly specify the document language for proper accessibility support."
"ISO_14289_1-7.2.25","PDFormField","structure,lang","ISO_14289_1","7.2",25,"Natural language in the TU key for form fields shall be determined","TU == null || containsLang == true || gContainsCatalogLang == true","Natural language in the TU key for form fields cannot be determined","The descriptive label for a form field doesn't specify what language it's written in. Without language information, screen readers may mispronounce the field's purpose or instructions, making it confusing for users with disabilities to understand what information they need to enter.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to any form fields in your document. Note that Quarto doesn't natively support interactive PDF forms, so if you're creating forms through custom methods, ensure the form generation process includes language metadata for all field descriptions."
